;
; ###########################################################################################################
; # CODE SUIVANT EST CHARGE pour le LEVEL 4 $7700=>$96FF (deux tracks A&B directement depuis la disquette) !
; ###########################################################################################################
;7700:4C 36 77    JMP $7736
8A2A:F0 FF       BEQ $8A2B
8A2C:83                   ???
8A2D:80                   ???
8A2E:C0 ED       CPY #$ED
8A30:80                   ???
8A31:80                   ???
8A32:80                   ???
8A33:BF                   ???
8A34:80                   ???
8A35:80                   ???
8A36:C0 9F       CPY #$9F
8A38:80                   ???
8A39:80                   ???
8A3A:C0 9F       CPY #$9F
8A3C:80                   ???
8A3D:80                   ???
8A3E:80                   ???
8A3F:FC                   ???
8A40:83                   ???
8A41:80                   ???
8A42:80                   ???
8A43:FC                   ???
8A44:83                   ???
8A45:80                   ???
8A46:80                   ???
8A47:88          DEY
8A48:83                   ???
8A49:80                   ???
8A4A:80                   ???
8A4B:88          DEY
8A4C:81 80       STA ($80,X)
8A4E:80                   ???
8A4F:FE 81 80    INC $8081,X
8A52:80                   ???
8A53:FF                   ???
8A54:83                   ???
8A55:80                   ???
8A56:80                   ???
8A57:FF                   ???
8A58:83                   ???
8A59:80                   ???
8A5A:80                   ???
8A5B:FF                   ???
8A5C:83                   ???
8A5D:80                   ???
8A5E:80                   ???
8A5F:FE 83 80    INC $8083,X
8A62:80                   ???
8A63:E0 9F       CPX #$9F
8A65:80                   ???
8A66:80                   ???
8A67:FF                   ???
8A68:9F                   ???
8A69:80                   ???
8A6A:80                   ???
8A6B:FF                   ???
8A6C:9B                   ???
8A6D:80                   ???
8A6E:80                   ???
8A6F:FE 9B 80    INC $809B,X
8A72:80                   ???
8A73:FE 9F 80    INC $809F,X
8A76:80                   ???
8A77:FE 8F 80    INC $808F,X
8A7A:80                   ???
8A7B:FC                   ???
8A7C:87                   ???
8A7D:80                   ???
8A7E:80                   ???
8A7F:A0 81       LDY #$81
8A81:80                   ???
8A82:80                   ???
8A83:A8          TAY
8A84:81 80       STA ($80,X)
8A86:80                   ???
8A87:A8          TAY
8A88:81 80       STA ($80,X)
8A8A:C0 FF       CPY #$FF
8A8C:8F                   ???
8A8D:80                   ???
8A8E:80                   ???
8A8F:B6 83       LDX $83,Y
8A91:80                   ???
8A92:80                   ???
8A93:FC                   ???
8A94:81 80       STA ($80,X)
8A96:80                   ???
8A97:FE 80 80    INC $8080,X
8A9A:80                   ???
8A9B:FE 80 80    INC $8080,X
8A9E:80                   ???
8A9F:F0 8F       BEQ $8A30
8AA1:80                   ???
8AA2:80                   ???
8AA3:F0 8F       BEQ $8A34
8AA5:80                   ???
8AA6:80                   ???
8AA7:A0 8E       LDY #$8E
8AA9:80                   ???
8AAA:80                   ???
8AAB:A0 84       LDY #$84
8AAD:80                   ???
8AAE:80                   ???
8AAF:F8          SED
8AB0:87                   ???
8AB1:80                   ???
8AB2:80                   ???
8AB3:FC                   ???
8AB4:8F                   ???
8AB5:80                   ???
8AB6:80                   ???
8AB7:FC                   ???
8AB8:8F                   ???
8AB9:80                   ???
8ABA:80                   ???
8ABB:FC                   ???
8ABC:8F                   ???
8ABD:80                   ???
8ABE:80                   ???
8ABF:F8          SED
8AC0:8F                   ???
8AC1:80                   ???
8AC2:80                   ???
8AC3:80                   ???
8AC4:FF                   ???
8AC5:80                   ???
8AC6:80                   ???
8AC7:FC                   ???
8AC8:FF                   ???
8AC9:80                   ???
8ACA:80                   ???
8ACB:FC                   ???
8ACC:EF                   ???
8ACD:80                   ???
8ACE:80                   ???
8ACF:F8          SED
8AD0:EF                   ???
8AD1:80                   ???
8AD2:80                   ???
8AD3:F8          SED
8AD4:FF                   ???
8AD5:80                   ???
8AD6:80                   ???
8AD7:F8          SED
8AD8:BF                   ???
8AD9:80                   ???
8ADA:80                   ???
8ADB:F0 9F       BEQ $8A7C
8ADD:80                   ???
8ADE:80                   ???
8ADF:80                   ???
8AE0:85 80       STA $80
8AE2:80                   ???
8AE3:A0 85       LDY #$85
8AE5:80                   ???
8AE6:80                   ???
8AE7:A0 85       LDY #$85
8AE9:80                   ???
8AEA:80                   ???
8AEB:FE BF 80    INC $80BF,X
8AEE:80                   ???
8AEF:D8          CLD
8AF0:8D 80 80    STA $8080
8AF3:F0 87       BEQ $8A7C
8AF5:80                   ???
;fin des sprites des marcheur level4
; Ci dessous copie de sprite du level 1 pour illustrer la végétation supérieur, arbre, position debout, mort...
; jusqu'à la fin 
8AF6:02                   ???
8AF7:BB                   ???
8AF8:5A                   ???
8AF9:30 5F       BMI $8B5A
8AFB:EE 3D A8    INC $A83D
8AFE:60          RTS
8AFF:80                   ???
8B00:FE 80 E0    INC $E080,X
8B03:87                   ???
8B04:80                   ???
8B05:80                   ???
8B06:80                   ???
8B07:80                   ???
8B08:80                   ???
8B09:9F                   ???
8B0A:80                   ???
8B0B:80                   ???
8B0C:80                   ???
8B0D:80                   ???
8B0E:80                   ???
8B0F:94 80       STY $80,X
8B11:80                   ???
8B12:80                   ???
8B13:80                   ???
8B14:80                   ???
8B15:D0 80       BNE $8A97
8B17:80                   ???
8B18:80                   ???
8B19:80                   ???
8B1A:80                   ???
8B1B:C0 82       CPY #$82
8B1D:80                   ???
8B1E:80                   ???
8B1F:80                   ???
8B20:80                   ???
8B21:80                   ???
8B22:8F                   ???
8B23:80                   ???
8B24:80                   ???
8B25:80                   ???
8B26:80                   ???
8B27:80                   ???
8B28:8F                   ???
8B29:E0 83       CPX #$83
8B2B:80                   ???
8B2C:80                   ???
8B2D:80                   ???
8B2E:80                   ???
8B2F:80                   ???
8B30:9F                   ???
8B31:80                   ???
8B32:80                   ???
8B33:80                   ???
8B34:80                   ???
8B35:80                   ???
8B36:FC                   ???
8B37:FD 80 80    SBC $8080,X
8B3A:80                   ???
8B3B:80                   ???
8B3C:E0 FF       CPX #$FF
8B3E:87                   ???
8B3F:80                   ???
8B40:80                   ???
8B41:80                   ???
8B42:80                   ???
8B43:FF                   ???
8B44:9F                   ???
8B45:80                   ???
8B46:80                   ???
8B47:80                   ???
8B48:A8          TAY
8B49:FD FF 80    SBC $80FF,X
8B4C:80                   ???
8B4D:80                   ???
8B4E:A8          TAY
8B4F:CD FF 87    CMP $87FF
8B52:80                   ???
8B53:80                   ???
8B54:FF                   ???
8B55:9F                   ???
8B56:FE 8F 80    INC $808F,X
8B59:80                   ???
8B5A:EC 86 FC    CPX $FC86
8B5D:8F                   ???
8B5E:80                   ???
8B5F:80                   ???
8B60:F8          SED
8B61:83                   ???
8B62:80                   ???
8B63:9F                   ???
8B64:80                   ???
8B65:80                   ???
8B66:80                   ???
8B67:80                   ???
8B68:80                   ???
8B69:FC                   ???
8B6A:80                   ???
8B6B:80                   ???
8B6C:80                   ???
8B6D:80                   ???
8B6E:80                   ???
8B6F:D0 80       BNE $8AF1
8B71:80                   ???
8B72:80                   ???
8B73:80                   ???
8B74:80                   ???
8B75:C0 82       CPY #$82
8B77:80                   ???
8B78:80                   ???
8B79:80                   ???
8B7A:80                   ???
8B7B:80                   ???
8B7C:8A          TXA
8B7D:80                   ???
8B7E:80                   ???
8B7F:80                   ???
8B80:80                   ???
8B81:80                   ???
8B82:BC 80 80    LDY $8080,X
8B85:80                   ???
8B86:80                   ???
8B87:80                   ???
8B88:BC 20 BB    LDY $BB20,X
8B8B:5A                   ???
8B8C:30 5F       BMI $8BED
8B8E:EE 3D A8    INC $A83D
8B91:60          RTS
8B92:FE FE FF    INC $FFFE,X
8B95:FF                   ???
8B96:FE FE FF    INC $FFFE,X
8B99:FF                   ???
8B9A:FE FE FF    INC $FFFE,X
8B9D:FF                   ???
8B9E:FE FE FF    INC $FFFE,X
8BA1:FF                   ???
8BA2:FE FE FF    INC $FFFE,X
8BA5:FF                   ???
8BA6:FE FE FF    INC $FFFE,X
8BA9:FF                   ???
8BAA:FE FE FF    INC $FFFE,X
8BAD:FF                   ???
8BAE:FE FE FF    INC $FFFE,X
8BB1:FF                   ???
8BB2:FE FE FF    INC $FFFE,X
8BB5:FF                   ???
8BB6:FE FE FF    INC $FFFE,X
8BB9:FF                   ???
8BBA:FE FE FF    INC $FFFE,X
8BBD:FF                   ???
8BBE:FE FE FF    INC $FFFE,X
8BC1:FF                   ???
8BC2:FE FE FF    INC $FFFE,X
8BC5:FF                   ???
8BC6:FE FE FF    INC $FFFE,X
8BC9:FF                   ???
8BCA:FE FE FF    INC $FFFE,X
8BCD:FF                   ???
8BCE:FE FE FF    INC $FFFE,X
8BD1:FF                   ???
8BD2:FE FE FF    INC $FFFE,X
8BD5:FF                   ???
8BD6:FE FE FF    INC $FFFE,X
8BD9:FF                   ???
8BDA:FE FE FF    INC $FFFE,X
8BDD:FF                   ???
8BDE:FE FE FF    INC $FFFE,X
8BE1:FF                   ???
8BE2:FE FE FF    INC $FFFE,X
8BE5:FF                   ???
8BE6:FE FE FF    INC $FFFE,X
8BE9:FF                   ???
8BEA:FE FE FF    INC $FFFE,X
8BED:FF                   ???
8BEE:FE FE FF    INC $FFFE,X
8BF1:FF                   ???
8BF2:FE FE FF    INC $FFFE,X
8BF5:FF                   ???
8BF6:FE FE FF    INC $FFFE,X
8BF9:FF                   ???
8BFA:FE FE FF    INC $FFFE,X
8BFD:FF                   ???
8BFE:FE FE 10    INC $10FE,X
8C01:04                   ???
8C02:3E 8C 7E    ROL $7E8C,X
8C05:8C BE 8C    STY $8CBE
8C08:FE 8C 3E    INC $3E8C,X
8C0B:8D 7E 8D    STA $8D7E
8C0E:BE 8D FE    LDX $FE8D,Y
8C11:8D 3E 8E    STA $8E3E
8C14:7E 8E BE    ROR $BE8E,X
8C17:8E FE 8E    STX $8EFE
8C1A:3E 8F 7E    ROL $7E8F,X
8C1D:8F                   ???
8C1E:17                   ???
8C1F:04                   ???
8C20:BE 8F 1A    LDX $1A8F,Y
8C23:90 76       BCC $8C9B
8C25:90 D2       BCC $8BF9
8C27:90 2E       BCC $8C57
8C29:91 8A       STA ($8A),Y
8C2B:91 E6       STA ($E6),Y
8C2D:91 0D       STA ($0D),Y
8C2F:05 42       ORA $42
8C31:92                   ???
8C32:83                   ???
8C33:92                   ???
8C34:C4 92       CPY $92
8C36:05 93       ORA $93
8C38:46 93       LSR $93
8C3A:87                   ???
8C3B:93                   ???
8C3C:C8          INY
8C3D:93                   ???
8C3E:00          BRK
8C3F:00          BRK
8C40:20 00 00    JSR $0000
8C43:40          RTI
8C44:60          RTS
8C45:00          BRK
8C46:0E 60 20    ASL $2060
8C49:01 02       ORA ($02,X)
8C4B:50 30       BVC $8C7D
8C4D:03                   ???
8C4E:3A                   ???
8C4F:50 28       BVC $8C79
8C51:01 22       ORA ($22,X)
8C53:54                   ???
8C54:2E 31 2E    ROL $2E31
8C57:54                   ???
8C58:2A          ROL
8C59:53                   ???
8C5A:38          SEC
8C5B:56 2B       LSR $2B,X
8C5D:59 31 55    EOR $5531,Y
8C60:2B                   ???
8C61:55 1A       EOR $1A,X
8C63:15 2A       ORA $2A,X
8C65:56 1A       LSR $1A,X
8C67:55 2E       EOR $2E,X
8C69:55 32       EOR $32,X
8C6B:55 1A       EOR $1A,X
8C6D:55 3B       EOR $3B,X
8C6F:55 23       EOR $23,X
8C71:55 08       EOR $08,X
8C73:55 20       EOR $20,X
8C75:56 2A       LSR $2A,X
8C77:76 28       ROR $28,X
8C79:6C 22 1D    JMP ($1D22)
8C7C:0A          ASL
8C7D:11 00       ORA ($00),Y
8C7F:00          BRK
8C80:00          BRK
8C81:01 00       ORA ($00,X)
8C83:00          BRK
8C84:02                   ???
8C85:03                   ???
8C86:38          SEC
8C87:00          BRK
8C88:03                   ???
8C89:05 08       ORA $08
8C8B:40          RTI
8C8C:42                   ???
8C8D:0D 68 41    ORA $4168
8C90:22                   ???
8C91:05 09       ORA $09
8C93:51 3A       EOR ($3A),Y
8C95:45 3A       EOR $3A
8C97:51 2A       EOR ($2A),Y
8C99:4D 62 59    EOR $5962
8C9C:2E 65 46    ROL $4665
8C9F:55 2E       EOR $2E,X
8CA1:55 6A       EOR $6A,X
8CA3:54                   ???
8CA4:28          PLP
8CA5:59 6A 54    EOR $546A,Y
8CA8:3A                   ???
8CA9:55 4A       EOR $4A,X
8CAB:55 6A       EOR $6A,X
8CAD:54                   ???
8CAE:6E 55 0E    ROR $0E55
8CB1:55 22       EOR $22,X
8CB3:54                   ???
8CB4:02                   ???
8CB5:59 2B 59    EOR $592B,Y
8CB8:23                   ???
8CB9:31 08       AND ($08),Y
8CBB:75 28       ADC $28,X
8CBD:44                   ???
8CBE:00          BRK
8CBF:00          BRK
8CC0:00          BRK
8CC1:04                   ???
8CC2:00          BRK
8CC3:00          BRK
8CC4:08          PHP
8CC5:0C                   ???
8CC6:60          RTS
8CC7:01 0C       ORA ($0C,X)
8CC9:14                   ???
8CCA:20 00 0A    JSR $0A00
8CCD:36 20       ROL $20,X
8CCF:07                   ???
8CD0:0A          ASL
8CD1:15 26       ORA $26,X
8CD3:44                   ???
8CD4:6A          ROR
8CD5:15 6A       ORA $6A,X
8CD7:45 2A       EOR $2A
8CD9:35 0B       AND $0B,X
8CDB:67                   ???
8CDC:3A                   ???
8CDD:15 1A       ORA $1A,X
8CDF:56 3A       LSR $3A,X
8CE1:55 2A       EOR $2A,X
8CE3:53                   ???
8CE4:22                   ???
8CE5:65 2A       ADC $2A
8CE7:53                   ???
8CE8:6A          ROR
8CE9:55 2A       EOR $2A,X
8CEB:56 2A       LSR $2A,X
8CED:53                   ???
8CEE:3A                   ???
8CEF:57                   ???
8CF0:3A                   ???
8CF1:54                   ???
8CF2:0A          ASL
8CF3:51 0A       EOR ($0A),Y
8CF5:64                   ???
8CF6:2D 65 0E    AND $0E65
8CF9:45 22       EOR $22
8CFB:54                   ???
8CFC:23                   ???
8CFD:11 00       ORA ($00),Y
8CFF:00          BRK
8D00:00          BRK
8D01:10 00       BPL $8D03
8D03:00          BRK
8D04:20 30 00    JSR $0030
8D07:07                   ???
8D08:30 50       BMI $8D5A
8D0A:01 01       ORA ($01,X)
8D0C:28          PLP
8D0D:58          CLI
8D0E:00          BRK
8D0F:1D 28 54    ORA $5428,X
8D12:18          CLC
8D13:11 2A       ORA ($2A),Y
8D15:57                   ???
8D16:29 17       AND #$17
8D18:2A          ROL
8D19:55 2C       EOR $2C,X
8D1B:1C                   ???
8D1C:6B                   ???
8D1D:55 6A       EOR $6A,X
8D1F:58          CLI
8D20:6A          ROR
8D21:55 2B       EOR $2B,X
8D23:4D 0A 15    EOR $150A
8D26:2A          ROL
8D27:4D 2A 57    EOR $572A
8D2A:2A          ROL
8D2B:59 2A 4D    EOR $4D2A,Y
8D2E:6A          ROR
8D2F:5D 6A 51    EOR $516A,X
8D32:2B                   ???
8D33:44                   ???
8D34:2A          ROL
8D35:10 36       BPL $8D6D
8D37:15 3B       ORA $3B,X
8D39:14                   ???
8D3A:08          PHP
8D3B:51 0E       EOR ($0E),Y
8D3D:45 00       EOR $00
8D3F:00          BRK
8D40:00          BRK
8D41:40          RTI
8D42:01 00       ORA ($00,X)
8D44:00          BRK
8D45:41 02       EOR ($02,X)
8D47:1C                   ???
8D48:40          RTI
8D49:41 06       EOR ($06,X)
8D4B:04                   ???
8D4C:20 61 02    JSR $0261
8D4F:74                   ???
8D50:20 51 62    JSR $6251
8D53:44                   ???
8D54:28          PLP
8D55:5D 26 5D    EOR $5D26,X
8D58:28          PLP
8D59:55 32       EOR $32,X
8D5B:71 2C       ADC ($2C),Y
8D5D:57                   ???
8D5E:2A          ROL
8D5F:63                   ???
8D60:2A          ROL
8D61:57                   ???
8D62:2C 35 2A    BIT $2A35
8D65:54                   ???
8D66:2A          ROL
8D67:35 2A       AND $2A,X
8D69:5D 2A 65    EOR $652A,X
8D6C:2A          ROL
8D6D:35 2A       AND $2A,X
8D6F:77                   ???
8D70:2A          ROL
8D71:47                   ???
8D72:2C 11 2A    BIT $2A11
8D75:41 58       EOR ($58,X)
8D77:55 6C       EOR $6C,X
8D79:51 22       EOR ($22),Y
8D7B:44                   ???
8D7C:3A                   ???
8D7D:14                   ???
8D7E:02                   ???
8D7F:00          BRK
8D80:00          BRK
8D81:00          BRK
8D82:06 00       ASL $00
8D84:00          BRK
8D85:04                   ???
8D86:0A          ASL
8D87:70 00       BVS $8D89
8D89:06 1B       ASL $1B
8D8B:10 00       BPL $8D8D
8D8D:05 0A       ORA $0A
8D8F:50 03       BVC $8D94
8D91:45 0A       EOR $0A
8D93:13                   ???
8D94:22                   ???
8D95:75 1A       ADC $1A,X
8D97:75 22       ADC $22,X
8D99:55 4A       EOR $4A,X
8D9B:45 33       EOR $33
8D9D:5D 2A 0D    EOR $0D2A,X
8DA0:2B                   ???
8DA1:5D 32 55    EOR $5532,X
8DA4:29 51       AND #$51
8DA6:2A          ROL
8DA7:55 29       EOR $29,X
8DA9:75 29       ADC $29,X
8DAB:15 2B       ORA $2B,X
8DAD:55 2A       EOR $2A,X
8DAF:5D 2B 1D    EOR $1D2B,X
8DB2:32                   ???
8DB3:45 28       EOR $28
8DB5:05 62       ORA $62
8DB7:56 32       LSR $32,X
8DB9:47                   ???
8DBA:08          PHP
8DBB:11 6A       ORA ($6A),Y
8DBD:51 08       EOR ($08),Y
8DBF:00          BRK
8DC0:00          BRK
8DC1:00          BRK
8DC2:18          CLC
8DC3:00          BRK
8DC4:00          BRK
8DC5:10 28       BPL $8DEF
8DC7:40          RTI
8DC8:03                   ???
8DC9:18          CLC
8DCA:6C 40 00    JMP ($0040)
8DCD:14                   ???
8DCE:2A          ROL
8DCF:40          RTI
8DD0:0E 14 2B    ASL $2B14
8DD3:4C 08 55    JMP $5508
8DD6:6A          ROR
8DD7:54                   ???
8DD8:0B                   ???
8DD9:55 2A       EOR $2A,X
8DDB:16 4E       ASL $4E,X
8DDD:75 2A       ADC $2A,X
8DDF:35 2C       AND $2C,X
8DE1:75 4A       ADC $4A,X
8DE3:55 26       EOR $26,X
8DE5:45 2B       EOR $2B
8DE7:55 26       EOR $26,X
8DE9:55 26       EOR $26,X
8DEB:55 2C       EOR $2C,X
8DED:55 28       EOR $28,X
8DEF:75 2E       ADC $2E,X
8DF1:75 48       ADC $48,X
8DF3:15 22       ORA $22,X
8DF5:15 0A       ORA $0A,X
8DF7:5B                   ???
8DF8:4A          LSR
8DF9:1D 22 44    ORA $4422,X
8DFC:28          PLP
8DFD:47                   ???
8DFE:20 00 00    JSR $0000
8E01:00          BRK
8E02:60          RTS
8E03:00          BRK
8E04:00          BRK
8E05:40          RTI
8E06:20 01 0E    JSR $0E01
8E09:60          RTS
8E0A:30 03       BMI $8E0F
8E0C:02                   ???
8E0D:50 28       BVC $8E37
8E0F:01 3A       ORA ($3A,X)
8E11:50 2E       BVC $8E41
8E13:31 22       AND ($22),Y
8E15:54                   ???
8E16:2A          ROL
8E17:53                   ???
8E18:2E 54 2B    ROL $2B54
8E1B:59 38 56    EOR $5638,Y
8E1E:2B                   ???
8E1F:55 31       EOR $31,X
8E21:55 2A       EOR $2A,X
8E23:56 1A       LSR $1A,X
8E25:15 2E       ORA $2E,X
8E27:55 1A       EOR $1A,X
8E29:55 1A       EOR $1A,X
8E2B:55 32       EOR $32,X
8E2D:55 23       EOR $23,X
8E2F:55 3B       EOR $3B,X
8E31:55 20       EOR $20,X
8E33:56 08       LSR $08,X
8E35:55 28       EOR $28,X
8E37:6C 2A 76    JMP ($762A)
8E3A:0A          ASL
8E3B:11 22       ORA ($22),Y
8E3D:1D 00 01    ORA $0100,X
8E40:00          BRK
8E41:00          BRK
8E42:02                   ???
8E43:03                   ???
8E44:00          BRK
8E45:00          BRK
8E46:03                   ???
8E47:05 38       ORA $38
8E49:00          BRK
8E4A:42                   ???
8E4B:0D 08 40    ORA $4008
8E4E:22                   ???
8E4F:05 68       ORA $68
8E51:41 3A       EOR ($3A,X)
8E53:45 09       EOR $09
8E55:51 2A       EOR ($2A),Y
8E57:4D 3A 51    EOR $513A
8E5A:2E 65 62    ROL $6265
8E5D:59 2E 55    EOR $552E,Y
8E60:46 55       LSR $55
8E62:28          PLP
8E63:59 6A 54    EOR $546A,Y
8E66:3A                   ???
8E67:55 6A       EOR $6A,X
8E69:54                   ???
8E6A:6A          ROR
8E6B:54                   ???
8E6C:4A          LSR
8E6D:55 0E       EOR $0E,X
8E6F:55 6E       EOR $6E,X
8E71:55 02       EOR $02,X
8E73:59 22 54    EOR $5422,Y
8E76:23                   ???
8E77:31 2B       AND ($2B),Y
8E79:59 28 44    EOR $4428,Y
8E7C:08          PHP
8E7D:75 00       ADC $00,X
8E7F:04                   ???
8E80:00          BRK
8E81:00          BRK
8E82:08          PHP
8E83:0C                   ???
8E84:00          BRK
8E85:00          BRK
8E86:0C                   ???
8E87:14                   ???
8E88:60          RTS
8E89:01 0A       ORA ($0A,X)
8E8B:36 20       ROL $20,X
8E8D:00          BRK
8E8E:0A          ASL
8E8F:15 20       ORA $20,X
8E91:07                   ???
8E92:6A          ROR
8E93:15 26       ORA $26,X
8E95:44                   ???
8E96:2A          ROL
8E97:35 6A       AND $6A,X
8E99:45 3A       EOR $3A
8E9B:15 0B       ORA $0B,X
8E9D:67                   ???
8E9E:3A                   ???
8E9F:55 1A       EOR $1A,X
8EA1:56 22       LSR $22,X
8EA3:65 2A       ADC $2A
8EA5:53                   ???
8EA6:6A          ROR
8EA7:55 2A       EOR $2A,X
8EA9:53                   ???
8EAA:2A          ROL
8EAB:53                   ???
8EAC:2A          ROL
8EAD:56 3A       LSR $3A,X
8EAF:54                   ???
8EB0:3A                   ???
8EB1:57                   ???
8EB2:0A          ASL
8EB3:64                   ???
8EB4:0A          ASL
8EB5:51 0E       EOR ($0E),Y
8EB7:45 2D       EOR $2D
8EB9:65 23       ADC $23
8EBB:11 22       ORA ($22),Y
8EBD:54                   ???
8EBE:00          BRK
8EBF:10 00       BPL $8EC1
8EC1:00          BRK
8EC2:20 30 00    JSR $0030
8EC5:00          BRK
8EC6:30 50       BMI $8F18
8EC8:00          BRK
8EC9:07                   ???
8ECA:28          PLP
8ECB:58          CLI
8ECC:01 01       ORA ($01,X)
8ECE:28          PLP
8ECF:54                   ???
8ED0:00          BRK
8ED1:1D 2A 57    ORA $572A,X
8ED4:18          CLC
8ED5:11 2A       ORA ($2A),Y
8ED7:55 29       EOR $29,X
8ED9:17                   ???
8EDA:6B                   ???
8EDB:55 2C       EOR $2C,X
8EDD:1C                   ???
8EDE:6A          ROR
8EDF:55 6A       EOR $6A,X
8EE1:58          CLI
8EE2:0A          ASL
8EE3:15 2B       ORA $2B,X
8EE5:4D 2A 57    EOR $572A
8EE8:2A          ROL
8EE9:4D 2A 4D    EOR $4D2A
8EEC:2A          ROL
8EED:59 6A 51    EOR $516A,Y
8EF0:6A          ROR
8EF1:5D 2A 10    EOR $102A,X
8EF4:2B                   ???
8EF5:44                   ???
8EF6:3B                   ???
8EF7:14                   ???
8EF8:36 15       ROL $15,X
8EFA:0E 45 08    ASL $0845
8EFD:51 00       EOR ($00),Y
8EFF:40          RTI
8F00:00          BRK
8F01:00          BRK
8F02:00          BRK
8F03:41 01       EOR ($01,X)
8F05:00          BRK
8F06:40          RTI
8F07:41 02       EOR ($02,X)
8F09:1C                   ???
8F0A:20 61 06    JSR $0661
8F0D:04                   ???
8F0E:20 51 02    JSR $0251
8F11:74                   ???
8F12:28          PLP
8F13:5D 62 44    EOR $4462,X
8F16:28          PLP
8F17:55 26       EOR $26,X
8F19:5D 2C 57    EOR $572C,X
8F1C:32                   ???
8F1D:71 2A       ADC ($2A),Y
8F1F:57                   ???
8F20:2A          ROL
8F21:63                   ???
8F22:2A          ROL
8F23:54                   ???
8F24:2C 35 2A    BIT $2A35
8F27:5D 2A 35    EOR $352A,X
8F2A:2A          ROL
8F2B:35 2A       AND $2A,X
8F2D:65 2A       ADC $2A
8F2F:47                   ???
8F30:2A          ROL
8F31:77                   ???
8F32:2A          ROL
8F33:41 2C       EOR ($2C,X)
8F35:11 6C       ORA ($6C),Y
8F37:51 58       EOR ($58),Y
8F39:55 3A       EOR $3A,X
8F3B:14                   ???
8F3C:22                   ???
8F3D:44                   ???
8F3E:00          BRK
8F3F:00          BRK
8F40:02                   ???
8F41:00          BRK
8F42:00          BRK
8F43:04                   ???
8F44:06 00       ASL $00
8F46:00          BRK
8F47:06 0A       ASL $0A
8F49:70 00       BVS $8F4B
8F4B:05 1B       ORA $1B
8F4D:10 03       BPL $8F52
8F4F:45 0A       EOR $0A
8F51:50 22       BVC $8F75
8F53:75 0A       ADC $0A,X
8F55:13                   ???
8F56:22                   ???
8F57:55 1A       EOR $1A,X
8F59:75 33       ADC $33,X
8F5B:5D 4A 45    EOR $454A,X
8F5E:2B                   ???
8F5F:5D 2A 0D    EOR $0D2A,X
8F62:29 51       AND #$51
8F64:32                   ???
8F65:55 29       EOR $29,X
8F67:75 2A       ADC $2A,X
8F69:55 2B       EOR $2B,X
8F6B:55 29       EOR $29,X
8F6D:15 2B       ORA $2B,X
8F6F:1D 2A 5D    ORA $5D2A,X
8F72:28          PLP
8F73:05 32       ORA $32
8F75:45 32       EOR $32
8F77:47                   ???
8F78:62                   ???
8F79:56 6A       LSR $6A,X
8F7B:51 08       EOR ($08),Y
8F7D:11 00       ORA ($00),Y
8F7F:00          BRK
8F80:08          PHP
8F81:00          BRK
8F82:00          BRK
8F83:10 18       BPL $8F9D
8F85:00          BRK
8F86:03                   ???
8F87:18          CLC
8F88:28          PLP
8F89:40          RTI
8F8A:00          BRK
8F8B:14                   ???
8F8C:6C 40 0E    JMP ($0E40)
8F8F:14                   ???
8F90:2A          ROL
8F91:40          RTI
8F92:08          PHP
8F93:55 2B       EOR $2B,X
8F95:4C 0B 55    JMP $550B
8F98:6A          ROR
8F99:54                   ???
8F9A:4E 75 2A    LSR $2A75
8F9D:16 2C       ASL $2C,X
8F9F:75 2A       ADC $2A,X
8FA1:35 26       AND $26,X
8FA3:45 4A       EOR $4A
8FA5:55 26       EOR $26,X
8FA7:55 2B       EOR $2B,X
8FA9:55 2C       EOR $2C,X
8FAB:55 26       EOR $26,X
8FAD:55 2E       EOR $2E,X
8FAF:75 28       ADC $28,X
8FB1:75 22       ADC $22,X
8FB3:15 48       ORA $48,X
8FB5:15 4A       ORA $4A,X
8FB7:1D 0A 5B    ORA $5B0A,X
8FBA:28          PLP
8FBB:47                   ???
8FBC:22                   ???
8FBD:44                   ???
8FBE:BF                   ???
8FBF:C0 81       CPY #$81
8FC1:80                   ???
8FC2:BF                   ???
8FC3:E0 81       CPX #$81
8FC5:80                   ???
8FC6:B8          CLV
8FC7:F4                   ???
8FC8:81 80       STA ($80,X)
8FCA:A0 E4       LDY #$E4
8FCC:81 80       STA ($80,X)
8FCE:A0 84       LDY #$84
8FD0:80                   ???
8FD1:80                   ???
8FD2:A0 9F       LDY #$9F
8FD4:80                   ???
8FD5:80                   ???
8FD6:BC BE 80    LDY $80BE,X
8FD9:80                   ???
8FDA:FC                   ???
8FDB:BF                   ???
8FDC:83                   ???
8FDD:80                   ???
8FDE:F8          SED
8FDF:FF                   ???
8FE0:83                   ???
8FE1:80                   ???
8FE2:F0 BF       BEQ $8FA3
8FE4:83                   ???
8FE5:80                   ???
8FE6:80                   ???
8FE7:80                   ???
8FE8:83                   ???
8FE9:80                   ???
8FEA:E0 BF       CPX #$BF
8FEC:83                   ???
8FED:80                   ???
8FEE:FE BF 83    INC $83BF,X
8FF1:80                   ???
8FF2:FE FF 83    INC $83FF,X
8FF5:80                   ???
8FF6:E6 FF       INC $FF
8FF8:81 80       STA ($80,X)
8FFA:E0 FF       CPX #$FF
8FFC:81 80       STA ($80,X)
8FFE:C0 FF       CPY #$FF
9000:80                   ???
9001:80                   ???
9002:80                   ???
9003:94 80       STY $80,X
9005:80                   ???
9006:80                   ???
9007:95 80       STA $80,X
9009:80                   ???
900A:80                   ???
